"source","search","url"
"github","tensorflow","https://api.github.com/repositories/138785494/contents/content/post/tensorflow.Rmd?ref=1338027e628e3cd1ac3a1e7cad28eac400b69a33"
"github","tensorflow","https://api.github.com/repositories/161288989/contents/tensorflow-in-rmarkdown.Rmd?ref=d069063dfbdf7763eaab47c447fc1598023a1e8e"
"github","tensorflow","https://api.github.com/repositories/85732721/contents/vignettes/logisticRegression.Rmd?ref=c2c1771208a387cd48eff6d9112b49d5e3c72e33"
"github","tensorflow","https://api.github.com/repositories/181209000/contents/post/post-2019-06-11-22-50-27.Rmd?ref=b6c7aa4dd24cc98bb4ee99bb516d8c705edba398"
"github","tensorflow","https://api.github.com/repositories/146943910/contents/Taking-TensorFlow-into-Production-EARL-2018.Rmd?ref=8171183519ae94bf1e9fbb850e6545beab7cfa0b"
"github","tensorflow","https://api.github.com/repositories/109327331/contents/tf_R.Rmd?ref=c03e0e33912b30e639ed6e01e7b78fddc7292972"
"github","tensorflow","https://api.github.com/repositories/143641107/contents/content/post/2017-12-03_keras_sketchnotes.Rmd?ref=18151ccf7c8a07076f486822005dce4b7bf96950"
"github","tensorflow","https://api.github.com/repositories/143641107/contents/public/post/2017-12-03_keras_sketchnotes.Rmd?ref=18151ccf7c8a07076f486822005dce4b7bf96950"
"github","tensorflow","https://api.github.com/repositories/103399876/contents/content/post/2018-09-19_deep_learning_keras_tensorflow_18_09.Rmd?ref=1dfb1eea552eb61b60e4969f0840683305da1e78"
"github","tensorflow","https://api.github.com/repositories/103399876/contents/public/post/2018-09-19_deep_learning_keras_tensorflow_18_09.Rmd?ref=1dfb1eea552eb61b60e4969f0840683305da1e78"
"github","tensorflow","https://api.github.com/repositories/106307957/contents/R_Keras_TesnorFlow.Rmd?ref=b69f8e79db2abf31e5e44059b2e386fe5759f051"
"github","tensorflow","https://api.github.com/repositories/113699755/contents/review.Rmd?ref=9786fdafd1f5a3053e25d46874800baba29c1d7d"
"github","tensorflow","https://api.github.com/repositories/79753678/contents/vignettes/dataset_api.Rmd?ref=4c388831b04d886f1c8111ae0dd14dac58632e64"
"github","tensorflow","https://api.github.com/repositories/140599161/contents/about.Rmd?ref=f79be4b61174341d867f08bd7848c2b73c741baf"
"github","tensorflow","https://api.github.com/repositories/170726240/contents/README.Rmd?ref=53cd228e8c14eecd5c35ea063ce7828727ddfc2a"
"github","tensorflow","https://api.github.com/repositories/142868230/contents/README.Rmd?ref=e7c9110032dfe313bc8d2afae489c40c24ba93d8"
"github","tensorflow","https://api.github.com/repositories/70596793/contents/StartTensorflow.Rmd?ref=0926c68c09b55895f6019042279ac4257b2ea0a0"
"github","tensorflow","https://api.github.com/repositories/84993758/contents/tensorflow.Rmd?ref=35b4e9794b187457f58400b6b4ef5ccd47a8c2c9"
"github","tensorflow","https://api.github.com/repositories/161966845/contents/02-basic.Rmd?ref=b915fdadd746247170bf4e56ed9c54639cdff41c"
"github","tensorflow","https://api.github.com/repositories/139915180/contents/TF_Core_Regression.Rmd?ref=6a361f81f078a2c5c55674f88ab1aad57027f6b8"
"github","tensorflow","https://api.github.com/repositories/139915180/contents/TF_Linear_Classifier.Rmd?ref=6a361f81f078a2c5c55674f88ab1aad57027f6b8"
"github","tensorflow","https://api.github.com/repositories/159373959/contents/Kerase_AssignmentNo.2.rmd?ref=f403668ccdc3162f56b491582132f7a227fb6d86"
"github","tensorflow","https://api.github.com/repositories/147222611/contents/2018-07-29/deploy-tensorflow-models-with-tfdeploy.Rmd?ref=f6c13a6a6e84d2d8a49f59f4c51ff77b6a9d7ec1"
"github","tensorflow","https://api.github.com/repositories/97647935/contents/inst/doc/logisticRegression.Rmd?ref=0b5001528c1c7d8c1946f7cba360c6f67e014da3"
"github","tensorflow","https://api.github.com/repositories/97647935/contents/vignettes/logisticRegression.Rmd?ref=0b5001528c1c7d8c1946f7cba360c6f67e014da3"
